"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*025he*","George Springer","TOR","OF","390","FA","36","TOR 0<br/>@ATH 2 F","59.35","86%","-2%"
"*02brc*","Adrian Houser","SF","SP,RP","395","FA","33","STL 6<br/>@SF 1","59.19","19%","-1%"
"*05gtn*","Tyler Soderstrom","ATH","1B,INF,OF","401","FA","24","TOR 0<br/>@ATH 2 F","58.86","83%","-1%"
"*04yid*","Ryne Nelson","ARI","SP,RP","414","FA","28","@KC Wed 7:40PM","58.23","50%","0%"
"*0429h*","Bryse Wilson","MIL","SP,RP","429","FA","28","CHC Wed 7:40PM","57.33","2%","0%"
"*04ehz*","Jeremiah Estrada","SD","RP","433","FA","27","WSH 2<br/>@SD 3","57.19","38%","0%"
"*05r1t*","Kervin Castro","NYY","RP","442","FA","27","COL Wed 7:05PM","56.94","1%","0%"
"*06308*","William Kempner","MIA","RP","447","FA","25","NYM Wed 6:40PM","56.76","2%","0%"
"*05gww*","Cade Horton","CHC","SP","448","FA","25","@MIL Wed 7:40PM","56.75","64%","0%"
"*030vs*","Kirby Yates","PIT","RP","453","FA","39","@CHW Wed 7:40PM","56.48","14%","0%"
"*031ey*","Eric Lauer","LAD","SP,RP","469","FA","31","CIN Wed 10:10PM","55.76","27%","-10%"
"*05gwy*","Masyn Winn","STL","SS,INF","473","FA","24","STL 6<br/>@SF 1","55.43","55%","0%"
"*0312l*","Brad Keller","PHI","RP","474","FA","31","HOU Wed 6:40PM","55.26","14%","0%"
"*0319c*","Mark Leiter Jr.","ATH","RP","483","FA","35","TOR 0<br/>@ATH 2 F","54.82","5%","0%"
"*03ca3*","Kyle Freeland","COL","SP","491","FA","33","@NYY Wed 7:05PM","54.22","15%","0%"
"*03d7h*","Mitch Keller","PIT","SP","495","FA","30","@CHW Wed 7:40PM","53.91","58%","0%"
"*05yj1*","Nolan Schanuel","LAA","1B,INF","511","FA","24","@BOS Wed 6:45PM","52.52","50%","0%"
"*05rb4*","Sam Bachman","LAA","RP","523","FA","26","@BOS Wed 6:45PM","51.98","13%","0%"
"*066n1*","Justin Sterner","ATH","RP","524","FA","30","TOR 0<br/>@ATH 2 F","51.96","10%","0%"
"*03qm8*","JT Brubaker","SF","RP","528","FA","32","STL 6<br/>@SF 1","51.81","3%","0%"
"*03djb*","Jalen Beeks","TEX","RP","529","FA","33","TEX 1<br/>@SEA 3","51.78","3%","0%"
"*04q1w*","Caleb Kilian","PHI","SP,RP","530","FA","29","HOU Wed 6:40PM","51.76","12%","0%"
"*05ahe*","Curtis Mead","BOS","1B,2B,3B,INF","534","FA","25","LAA Wed 6:45PM","51.66","59%","0%"
"*04pvq*","PJ Poulin","WSH","SP,RP","537","FA","30","WSH 2<br/>@SD 3","51.41","5%","0%"
"*0518g*","Trevor McDonald","SF","SP","539","FA","25","STL 6<br/>@SF 1","51.36","17%","0%"
"*04paj*","Cole Winn","TEX","RP","542","FA","26","TEX 1<br/>@SEA 3","51.15","6%","0%"
"*0512e*","Spencer Steer","CIN","1B,2B,INF,OF","543","FA","28","@LAD Wed 10:10PM","51.14","65%","-1%"
"*02n2v*","Anthony Banda","MIN","RP","559","FA","33","MIN 2<br/>@DET 6","50.49","4%","0%"
"*04y44*","Josh Jung","TEX","3B,INF","560","FA","28","TEX 1<br/>@SEA 3","50.46","74%","-1%"
"*04bpj*","Taylor Walls","TB","SS,INF","561","FA","30","@ATL Wed 7:15PM","50.4","10%","-1%"
"*041t2*","Brooks Kriske","ATH","RP","566","FA","32","TOR 0<br/>@ATH 2 F","50.1","0%","0%"
"*04eej*","Gavin Sheets","SD","1B,INF,OF","571","FA","30","WSH 2<br/>@SD 3","49.6","39%","-1%"
"*04o10*","Joel Peguero","SF","RP","573","FA","29","STL 6<br/>@SF 1","49.28","3%","0%"
"*03duu*","Ryan Thompson","ARI","RP","583","FA","34","@KC Wed 7:40PM","48.56","6%","0%"
"*05yj0*","Chase Dollander","COL","SP,RP","584","FA","24","@NYY Wed 7:05PM","48.5","46%","0%"
"*05y6w*","Hunter Dobbins","STL","SP","591","FA","27","STL 6<br/>@SF 1","48.03","21%","-2%"
"*01srb*","Jameson Taillon","TOR","SP","616","FA","34","TOR 0<br/>@ATH 2 F","46.4","29%","-1%"
"*03d6w*","Jack Flaherty","DET","SP","618","FA","30","MIN 2<br/>@DET 6","46.19","65%","0%"
"*05r1z*","Zack Kelly","BOS","RP","619","FA","31","LAA Wed 6:45PM","46.17","1%","0%"
"*06qxg*","Tyler Davis","CHW","RP","623","FA","27","PIT Wed 7:40PM","45.81","1%","0%"
"*0622t*","Jacob Wilson","ATH","SS,INF","632","FA","24","TOR 0<br/>@ATH 2 F","45.08","75%","0%"
"*03zo6*","Cionel Perez","NYM","RP","635","FA","30","@MIA Wed 6:40PM","44.94","1%","0%"
"*01xfr*","Patrick Corbin","TOR","SP","637","FA","37","TOR 0<br/>@ATH 2 F","44.84","7%","0%"
"*06m7f*","Welinton Herrera","COL","RP","647","FA","22","@NYY Wed 7:05PM","43.96","2%","0%"
"*03pj4*","Cody Ponce","TOR","SP","651","FA","32","TOR 0<br/>@ATH 2 F","43.76","41%","0%"
"*04pvs*","Blaze Alexander","BAL","2B,3B,SS,INF,OF","654","FA","27","CLE Wed 6:35PM","43.63","34%","-2%"
"*041rf*","Shane Bieber","TOR","SP","656","FA","31","TOR 0<br/>@ATH 2 F","43.52","68%","-1%"
"*04pvl*","Mike Burrows","HOU","SP","667","FA","26","@PHI Wed 6:40PM","43.12","33%","-1%"
"*04y9o*","Jack Leiter","TEX","SP","677","FA","26","TEX 1<br/>@SEA 3","42.72","67%","0%"
"*03avk*","Luis Rengifo","SD","2B,3B,INF,OF","679","FA","29","WSH 2<br/>@SD 3","42.6","20%","-2%"
"*04em6*","Will Vest","DET","RP","681","FA","31","MIN 2<br/>@DET 6","42.39","20%","0%"
"*05jqy*","Mitchell Parker","WSH","SP,RP","690","FA","26","WSH 2<br/>@SD 3","42.2","6%","0%"
"*0514j*","Gavin Hollowell","CHC","RP","691","FA","28","@MIL Wed 7:40PM","42.12","1%","0%"
"*03dbu*","Sam Hentges","SF","RP","698","FA","30","STL 6<br/>@SF 1","41.81","2%","0%"
"*04ali*","Edward Cabrera","CHC","SP","700","FA","28","@MIL Wed 7:40PM","41.69","70%","0%"
"*03d6s*","Matt Chapman","SF","3B,INF","702","FA","33","STL 6<br/>@SF 1","41.61","63%","0%"
"*02c1b*","Burch Smith","DET","RP","707","FA","36","MIN 2<br/>@DET 6","41.33","1%","0%"
"*05xtz*","Dalton Rushing","LAD","C","708","FA","25","CIN Wed 10:10PM","41.28","52%","-2%"
"*05249*","Austin Martin","MIN","OF","711","FA","27","MIN 2<br/>@DET 6","41.07","14%","0%"
